city;country;technology;api;url;is_applicable;lat;long;protocol
Aachen;Deutschland;CKAN;offenedaten.aachen.de/api/3/action/package_list;offenedaten.aachen.de;0;50,7753455;6,0838868;http://
Bielefeld;Deutschland;DKAN;open-data.bielefeld.de/api/3/action/package_list;open-data.bielefeld.de;0;52,030228;8,532471;https://
Bonn;Deutschland;DKAN;opendata.bonn.de/api/3/action/package_list;opendata.bonn.de;0;50,73743;7,098207;https://
Dormagen;Deutschland;OpenDataSoft;opendata.dormagen.de/api/v2/catalog/datasets;opendata.dormagen.de;0;51,093685;6,828911;https://
Duisburg;Deutschland;DKAN;opendata-duisburg.de/api/3/action/package_list;opendata-duisburg.de;0;51,434408;6.762.329;https://
Düsseldorf;Deutschland;DKAN;opendata.duesseldorf.de/api/3/action/package_list;opendata.duesseldorf.de;0;51,227741;6,773456;https://
Essen;Deutschland;DKAN;opendata.essen.de/api/3/action/package_list;opendata.essen.de;0;51,455643;7.011.555;https://
Frankfurt;Deutschland;CKAN;offenedaten.frankfurt.de/api/3/action/package_list;offenedaten.frankfurt.de;0;50,110922;8,682127;http://
Freiburg;Deutschland;Website;fritz.freiburg.de/duva2ckan/files;fritz.freiburg.de;0;47,999008;7,842104;https://
Gelsenkirchen;Deutschland;DKAN;opendata.gelsenkirchen.de/api/3/action/package_list;opendata.gelsenkirchen.de;0;51,517744;7,085717;https://
Herne;Deutschland;GeoNetwork;opendata.herne.de/katalogopendata/doc/api/index.html;opendata.herne.de;0;51,536895;7,200915;https://
Jena;Deutschland;CKAN;opendata.jena.de/api/3/action/package_list;opendata.jena.de;0;50,927054;11,589237;https://
Karlsruhe;Deutschland;CKAN;transparenz.karlsruhe.de/api/3/action/package_list;transparenz.karlsruhe.de;1;49,00689;8,403653;https://
Kleve;Deutschland;CKAN;www.offenesdatenportal.de/api/3/action/package_list?id=stadt-kleve;www.offenesdatenportal.de?id=stadt-kleve;0;51,786726;6,12954;https://
Köln;Deutschland;DKAN;offenedaten-koeln.de/api/3/action/package_list;offenedaten-koeln.de;0;50,937531;6,960279;https://
Konstanz;Deutschland;DKAN;offenedaten-konstanz.de/api/3/action/package_list;offenedaten-konstanz.de;0;47,67795;9,173238;https://
Krefeld;Deutschland;CKAN;www.offenesdatenportal.de/api/3/action/package_list?id=krefeld;www.offenesdatenportal.de?id=krefeld;0;51,338761;6,585342;https://
Leipzig;Deutschland;CKAN;opendata.leipzig.de/api/3/action/package_list;opendata.leipzig.de;0;51,339695;12,373075;https://
Mannheim;Deutschland;OpenDataSoft;mannheim.opendatasoft.com/api/v2/catalog/datasets;mannheim.opendatasoft.com;0;49,487459;8,6604;https://
Meerbusch;Deutschland;CKAN;opendata.meerbusch.de/api/3/action/package_list;opendata.meerbusch.de;0;51,250351;6,690717;https://
Moers;Deutschland;CKAN;www.offenesdatenportal.de/api/3/action/package_list?id=moers;www.offenesdatenportal.de?id=moers;0;51,451604;6,640815;https://
München;Deutschland;CKAN;www.opengov-muenchen.de/api/3/action/package_list;www.opengov-muenchen.de;0;48,135125;11,581981;https://
Münster;Deutschland;CKAN + Drupal;opendata.stadt-muenster.de/api/3/action/package_list;opendata.stadt-muenster.de;1;51,960665;7,626135;https://
Potsdam;Deutschland;OpenDataSoft;opendata.potsdam.de/api/v2/catalog/datasets;opendata.potsdam.de;1;52,390569;13,064473;https://
Rostock;Deutschland;CKAN;www.opendata-hro.de/api/3/action/package_list;www.opendata-hro.de;0;54,0924445;12,1286127;https://
Mühlheim-Ruhr;Deutschland;DKAN;geo.muelheim-ruhr.de/api/3/action/package_list;geo.muelheim-ruhr.de;0;51,418568;6,884523;https://
Wachtendonk;Deutschland;CKAN;www.offenesdatenportal.de/api/3/action/package_list?id=gemeinde-wachtendonk;www.offenesdatenportal.de?id=gemeinde-wachtendonk;0;51,408219;6,339903;https://
Wesel;Deutschland;CKAN;www.offenesdatenportal.de/api/3/action/package_list?id=stadt-wesel;www.offenesdatenportal.de?id=stadt-wesel;0;51,664308;6,629568;https://
Wuppertal;Deutschland;DKAN;www.offenedaten-wuppertal.de/api/3/action/package_list;www.offenedaten-wuppertal.de;0;51,256213;7,150764;https://
Berlin;Deutschland;CKAN;datenregister.berlin.de/api/3/action/package_list;datenregister.berlin.de;0;52,520007;13,404954;https://
Hamburg;Deutschland;CKAN;suche.transparenz.hamburg.de/api/3/action/package_list;suche.transparenz.hamburg.de;0;53,551085;9,993682;https://
Govdata;Deutschland;CKAN+Liferay;ckan.govdata.de/api/3/action/package_list;ckan.govdata.de;0;51;10;https://
Kreis-Kleve;Deutschland;CKAN;www.offenesdatenportal.de/api/3/action/package_list?id=kreis-kleve;www.offenesdatenportal.de?id=kreis-kleve;0;51,8;6,2;https://
Kreis-Viersen;Deutschland;CKAN;www.offenesdatenportal.de/api/3/action/package_list?id=kreis-viersen;www.offenesdatenportal.de?id=kreis-viersen;0;51,255499;6,396523;https://
Lklg;Deutschland;CKAN;open.lklg.net/api/3/action/package_list;open.lklg.net;0;50;10;https://
Offenesdatenportal;Deutschland;CKAN;www.offenesdatenportal.de/api/3/action/package_list;www.offenesdatenportal.de;0;50,7;7,8;https://
Rhein-Kreis-Neuss;Deutschland;OpenDataSoft;opendata.rhein-kreis-neuss.de/api/v2/catalog/datasets;opendata.rhein-kreis-neuss.de;0;51,204197;6,687951;https://
Deutschebahn;Deutschland;CKAN;data.deutschebahn.com/api/3/action/package_list;data.deutschebahn.com;0;50,4;8,4;https://
Ruhr;Deutschland;CKAN;opendata.ruhr/api/3/action/package_list;opendata.ruhr;0;51,5;7,2;https://
XX;Deutschland;CKAN;offenedaten.de/api/3/action/package_list;offenedaten.de;0;51;9,4;https://
OEPNV;Deutschland;CKAN;www.opendata-oepnv.de/api/3/action/package_list;www.opendata-oepnv.de;0;50,5;9;https://
Bayern;Deutschland;CKAN;opendata.bayern.de/api/1/search/dataset?all_fields=1&q=*:*;opendata.bayern.de;0;49;12;https://
NRW;Deutschland;CKAN + Drupal;ckan.www.open.nrw.de/api/3/action/package_list;ckan.www.open.nrw.de;0;51,233334;6,783333;https://
Rlp;Deutschland;CKAN;daten.rlp.de/api/3/action/package_list;daten.rlp.de;0;49,992862;8,247253;https://
Schleswig-Holstein;Deutschland;CKAN;opendata.schleswig-holstein.de/api/3/action/package_list;opendata.schleswig-holstein.de;0;54,323293;10,122765;https://
Diverse;Österreich;CKAN;www.data.gv.at/katalog;www.data.gv.at/katalog;0;48,208174;16,373819;https://
